id,id_solicitud,sku,monto_uf,ruta,motivo,U,D,createdAt,updatedAt
1,DEV-1115,AU-210,0.49,APROBACION,La solicitud cumple las condiciones de aprobación,50000,7,2026-09-20T19:38:20.891Z,2026-09-20T19:38:20.891Z
2,DEV-1116,TE-330,1.71,REVISION,Monto superior al umbral de $50.000,50000,7,2026-09-20T19:38:20.943Z,2026-09-20T19:38:20.943Z
3,DEV-1117,HV-050,0.61,RECHAZO,Solicitud fuera del plazo máximo de 7 días,50000,7,2026-09-20T19:38:21.028Z,2026-09-20T19:38:21.028Z
4,DEV-1118,MW-150,1.95,REVISION,Monto superior al umbral de $50.000,50000,7,2026-09-20T19:38:21.224Z,2026-09-20T19:38:21.224Z
5,DEV-1119,PL-120,1.12,RECHAZO,Solicitud fuera del plazo máximo de 7 días,50000,7,2026-09-20T19:38:21.340Z,2026-09-20T19:38:21.340Z
6,DEV-1120,AS-260,2.2,REVISION,Monto superior al umbral de $50.000,50000,7,2026-09-20T19:38:21.441Z,2026-09-20T19:38:21.441Z
7,DEV-1121,LV-330,7.08,RECHAZO,Solicitud fuera del plazo máximo de 7 días,50000,7,2026-09-20T19:38:21.472Z,2026-09-20T19:38:21.472Z
8,DEV-1122,PL-120,1.12,APROBACION,La solicitud cumple las condiciones de aprobación,50000,7,2026-09-20T19:38:21.564Z,2026-09-20T19:38:21.564Z
9,DEV-1123,AU-210,0.98,RECHAZO,Solicitud fuera del plazo máximo de 7 días,50000,7,2026-09-20T19:38:21.665Z,2026-09-20T19:38:21.665Z
10,DEV-1124,HV-050,1.22,APROBACION,La solicitud cumple las condiciones de aprobación,50000,7,2026-09-20T19:38:21.930Z,2026-09-20T19:38:21.930Z
11,DEV-1125,TE-330,0.85,RECHAZO,Solicitud fuera del plazo máximo de 7 días,50000,7,2026-09-20T19:38:22.072Z,2026-09-20T19:38:22.072Z
12,DEV-1126,MW-150,1.95,RECHAZO,Solicitud fuera del plazo máximo de 7 días,50000,7,2026-09-20T19:38:22.189Z,2026-09-20T19:38:22.189Z
13,DEV-C01,CB-010,0.24,APROBACION,La solicitud cumple las condiciones de aprobación,50000,7,2026-09-20T19:38:22.240Z,2026-09-20T19:38:22.240Z
14,DEV-C02,LV-330,7.08,REVISION,Monto superior al umbral de $50.000,50000,7,2026-09-20T19:38:22.391Z,2026-09-20T19:38:22.391Z
15,DEV-C03,MW-150,1.95,RECHAZO,Solicitud fuera del plazo máximo de 7 días,50000,7,2026-09-20T19:38:22.428Z,2026-09-20T19:38:22.428Z
